AM;130063;Beruri;10;12;13809
AM;130068;Boa Vista do Ramos;31;1;13138
AM;130070;Boca do Acre;22;10;29818
AM;130080;Borba;1;1;31098
AM;130083;Caapiranga;28;12;10547
AM;130090;Canutama;10;10;11463
AM;130100;Carauari;27;9;25110
AM;130110;Careiro;19;12;31070
AM;130115;Careiro da Várzea;1;12;23023
AM;130120;Coari;2;8;65222
AM;130130;Codajás;31;3;16025
AM;130140;Eirunepé;8;9;29411
AM;130150;Envira;31;1;16438
AM;130160;Fonte Boa;31;3;19726
AM;130165;Guajará;12;12;14102
AM;130170;Humaitá;15;5;4923
AM;130180;Ipixuna;18;2;17177
AM;130185;Iranduba;10;12;32869
AM;130190;Itacoatiara;25;4;84676
AM;130195;Itamarati;19;12;8078
AM;130200;Itapiranga;24;7;15238
AM;130210;Japurá;19;12;8248
AM;130220;Juruá;19;12;8658
AM;130230;Jutaí;11;4;17129
AM;130240;Lábrea;7;3;36909
AM;130250;Manacapuru;16;7;82309
AM;130255;Manaquiri;25;2;19164
AM;130260;Manaus;24;10;1646602
AM;130270;Manicoré;15;5;44327
AM;130280;Maraã;25;3;17507
AM;130290;Maués;25;6;47020
AM;130300;Nhamundá;31;1;17553
AM;130310;Nova Olinda do Norte;19;12;29184
AM;130320;Novo Airão;19;12;14630
AM;130330;Novo Aripuanã;19;12;18196
AM;130340;Parintins;15;10;102044
AM;130350;Pauini;19;3;18325
AM;130353;Presidente Figueiredo;10;12;24360
AM;130356;Rio Preto da Eva;31;3;24858
AM;130360;Santa Isabel do Rio Negro;29;12;51763
AM;130370;Santo Antônio do Içá;13;3;29249
AM;130380;São Gabriel da Cachoeira;3;9;39129
AM;130390;São Paulo de Olivença;31;5;30727
AM;130395;São Sebastião do Uatumã;10;12;8731
AM;130400;Silves;23;1;8211
AM;130406;Tabatinga;1;2;13965
AM;130410;Tapauá;19;12;19453
AM;130420;Tefé;15;6;62920
AM;130423;Tonantins;10;12;19090
AM;130426;Uarini;10;12;9859
AM;130430;Urucará;12;5;15716
AM;130440;Urucurituba;24;1;17184
AP;160010;Amapá;22;10;7492
AP;160020;Calçoene;22;12;8656
AP;160021;Cutias;1;5;4320
AP;160023;Ferreira Gomes;17;12;5040
AP;160025;Itaubal;1;5;3439
AP;160027;Laranjal do Jari;17;12;37491
AP;160030;Macapá;4;2;344153
AP;160040;Mazagão;23;1;13862
AP;160050;Oiapoque;23;5;19181
AP;160015;Pedra Branca do Amapari;1;5;7332
AP;160053;Porto Grande;1;5;13962
AP;160055;Pracuúba;1;5;3353
AP;160060;Santana;17;12;92098
AP;160005;Serra do Navio;1;5;3772
AP;160070;Tartarugalzinho;17;12;12395
AP;160080;Vitória do Jari;8;9;10765
BA;290010;Abaíra;22;2;8638
BA;290020;Abaré;19;7;17342
BA;290030;Acajutiba;28;11;14628
BA;290035;Adustina;24;2;14824
BA;290040;Água Fria;13;7;14810
BA;290060;Aiquara;12;4;5212
BA;290070;Alagoinhas;2;7;132725
BA;290080;Alcobaça;12;11;19840
BA;290090;Almadina;15;3;6687
BA;290100;Amargosa;19;6;33554
BA;290110;Amélia Rodrigues;20;10;22096
BA;290115;América Dourada;25;2;16189
BA;290120;Anagé;5;4;25716
BA;290130;Andaraí;28;4;14088
BA;290135;Andorinha;13;6;14132
BA;290140;Angical;5;7;14700
BA;290150;Anguera;20;11;9523
BA;290160;Antas;13;8;16446
BA;290170;Antônio Cardoso;18;4;12074
BA;290180;Antônio Gonçalves;5;7;10653
BA;290190;Aporá;14;8;17870
BA;290195;Apuarema;13;6;7379
BA;290205;Araças;24;2;11662
BA;290200;Aracatu;12;7;14168
BA;290210;Araci;7;4;51912
BA;290220;Aramari;6;9;9527
BA;290225;Arataca;9;5;10717
BA;290230;Aratuípe;7;2;8507
BA;290240;Aurelino Leal;15;12;14458
BA;290250;Baianópolis;30;7;13437
BA;290260;Baixa Grande;17;7;20980
BA;290265;Banzaê;24;2;10865
BA;290270;Barra;16;6;47755
BA;290280;Barra da Estiva;26;10;20750
BA;290290;Barra do Choça;22;6;32489
BA;290300;Barra do Mendes;14;8;14054
BA;290310;Barra do Rocha;24;8;6133
BA;290320;Barreiras;26;5;129501
BA;290323;Barro Alto;9;5;13403
BA;290330;Barro Preto;17;4;6669
BA;290327;Barrocas;30;3;13182
BA;290340;Belmonte;23;5;2681
BA;290350;Belo Campo;22;2;15262
BA;290360;Biritinga;23;4;13961
BA;290370;Boa Nova;6;8;16007
BA;290380;Boa Vista do Tupim;19;7;17841
BA;290390;Bom Jesus da Lapa;31;8;62199
BA;290395;Bom Jesus da Serra;13;6;10295
BA;290400;Boninal;23;4;13227
BA;290405;Bonito;13;6;39111
BA;290410;Boquira;6;4;21856
BA;290420;Botuporã;22;3;11026
BA;290430;Brejões;26;10;12677
BA;290440;Brejolândia;16;7;9337
BA;290450;Brotas de Macaúbas;16;7;10922
BA;290460;Brumado;11;6;62381
BA;290470;Buerarema;17;9;19956
BA;290475;Buritirama;9;5;18656
BA;290480;Caatiba;1;4;10367
BA;290485;Cabaceiras do Paraguaçu;13;6;17502
BA;290490;Cachoeira;13;3;32252
BA;290500;Caculé;14;8;21847
BA;290510;Caém;8;4;10377
BA;290515;Caetanos;8;1;12133
BA;290520;Caetité;5;4;46192
BA;290530;Cafarnaum;16;7;17402
BA;290540;Cairu;16;8;13712
BA;290550;Caldeirão Grande;25;4;13072
BA;290560;Camacan;31;8;30289
BA;290570;Camaçari;28;9;220495
BA;290580;Camamu;25;5;32172
BA;290590;Campo Alegre de Lourdes;5;7;26935
BA;290600;Campo Formoso;28;7;6570
BA;290610;Canápolis;19;7;10577
BA;290620;Canarana;16;7;24436
BA;290630;Canavieiras;25;5;35743
BA;290640;Candeal;13;5;9019
BA;290650;Candeias;14;8;15499
BA;290660;Candiba;27;7;12352
BA;290670;Cândido Sales;5;7;26727
BA;290680;Cansanção;12;8;32789
BA;290682;Canudos;26;2;14656
BA;290685;Capela do Alto Alegre;19;6;12311
BA;290687;Capim Grosso;9;5;25823
